timestamp,name,utilization.gpu [%],memory.used [MiB],memory.total [MiB],temperature.gpu,power.draw [W]
2026/08/04 16:12:13.044, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 0, 8188, 49, 590.01
2026/08/04 16:12:43.085, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 2113, 8188, 57, 2.36
2026/08/04 16:13:13.152, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 2817, 8188, 65, 54.86
2026/08/04 16:13:43.218, NVIDIA GeForce RTX 4070 Laptop GPU, 79, 2817, 8188, 66, 54.67
2026/08/04 16:14:13.284, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 2817, 8188, 67, 55.63
2026/08/04 16:14:43.344, NVIDIA GeForce RTX 4070 Laptop GPU, 90, 2817, 8188, 67, 55.07
2026/08/04 16:15:13.393, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 5585, 8188, 67, 54.85
2026/08/04 16:15:43.486, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7929, 8188, 64, 44.44
2026/08/04 16:16:13.531, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7937, 8188, 64, 54.86
2026/08/04 16:16:43.601, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7937, 8188, 65, 54.79
2026/08/04 16:17:13.656, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7923, 8188, 65, 46.85
2026/08/04 16:17:43.730, NVIDIA GeForce RTX 4070 Laptop GPU, 92, 7923, 8188, 63, 54.78
2026/08/04 16:18:13.779, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7923, 8188, 64, 54.91
2026/08/04 16:18:43.837, NVIDIA GeForce RTX 4070 Laptop GPU, 0, 7921, 8188, 63, 22.54
2026/08/04 16:19:13.961, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 34.60
2026/08/04 16:19:44.000, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 40.37
2026/08/04 16:20:14.046, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 42.28
2026/08/04 16:20:44.086, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 65, 43.96
2026/08/04 16:21:14.124, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 63, 54.88
2026/08/04 16:21:44.196, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 64, 54.99
2026/08/04 16:22:14.232, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 65, 47.16
2026/08/04 16:22:44.297, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 49.15
2026/08/04 16:23:14.346, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 64, 54.89
2026/08/04 16:23:44.390, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7905, 8188, 64, 54.93
2026/08/04 16:24:14.440, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 33.36
2026/08/04 16:24:44.474, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 41.04
2026/08/04 16:25:14.563, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 64, 54.96
2026/08/04 16:25:44.608, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 64, 55.01
2026/08/04 16:26:14.677, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 52.19
2026/08/04 16:26:44.720, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 40.53
2026/08/04 16:27:14.802, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 63, 54.91
2026/08/04 16:27:44.854, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7905, 8188, 64, 54.88
2026/08/04 16:28:14.896, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 31.48
2026/08/04 16:28:44.942, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7905, 8188, 62, 54.97
2026/08/04 16:29:15.002, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 44.17
2026/08/04 16:29:45.056, NVIDIA GeForce RTX 4070 Laptop GPU, 80, 7905, 8188, 65, 54.04
2026/08/04 16:30:15.113, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7905, 8188, 66, 54.92
2026/08/04 16:30:45.174, NVIDIA GeForce RTX 4070 Laptop GPU, 84, 7905, 8188, 67, 54.94
2026/08/04 16:31:15.219, NVIDIA GeForce RTX 4070 Laptop GPU, 75, 7905, 8188, 68, 54.55
2026/08/04 16:31:45.262, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 66, 54.91
2026/08/04 16:32:15.332, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 65, 45.63
2026/08/04 16:32:45.365, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 64, 54.77
2026/08/04 16:33:15.403, NVIDIA GeForce RTX 4070 Laptop GPU, 95, 7905, 8188, 65, 54.83
2026/08/04 16:33:45.441, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 48.17
2026/08/04 16:34:15.475, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 37.85
2026/08/04 16:34:45.561, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 63, 54.92
2026/08/04 16:35:15.596, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 64, 54.97
2026/08/04 16:35:45.666, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 35.10
2026/08/04 16:36:15.713, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 60, 35.17
2026/08/04 16:36:45.787, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7905, 8188, 62, 55.03
2026/08/04 16:37:15.831, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 63, 54.79
2026/08/04 16:37:45.877, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 50.29
2026/08/04 16:38:16.001, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 52.88
2026/08/04 16:38:46.056, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 63, 55.09
2026/08/04 16:39:16.097, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 63, 54.77
2026/08/04 16:39:46.141, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 43.08
2026/08/04 16:40:16.195, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 63, 54.97
2026/08/04 16:40:46.237, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 64, 54.87
2026/08/04 16:41:16.283, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 33.21
2026/08/04 16:41:46.334, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 60, 30.95
2026/08/04 16:42:16.388, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 62, 54.89
2026/08/04 16:42:46.430, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7905, 8188, 63, 54.79
2026/08/04 16:43:16.488, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 43.15
2026/08/04 16:43:46.534, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 40.15
2026/08/04 16:44:16.632, NVIDIA GeForce RTX 4070 Laptop GPU, 72, 7905, 8188, 65, 54.30
2026/08/04 16:44:46.672, NVIDIA GeForce RTX 4070 Laptop GPU, 91, 7905, 8188, 66, 54.62
2026/08/04 16:45:16.780, NVIDIA GeForce RTX 4070 Laptop GPU, 93, 7905, 8188, 67, 54.87
2026/08/04 16:45:46.816, NVIDIA GeForce RTX 4070 Laptop GPU, 94, 7905, 8188, 67, 54.95
2026/08/04 16:46:16.907, NVIDIA GeForce RTX 4070 Laptop GPU, 97, 7905, 8188, 66, 54.92
2026/08/04 16:46:46.945, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 66, 55.49
2026/08/04 16:47:17.002, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 35.72
2026/08/04 16:47:47.054, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 35.09
2026/08/04 16:48:17.099, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 62, 54.87
2026/08/04 16:48:47.137, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7905, 8188, 63, 54.98
2026/08/04 16:49:17.181, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 35.03
2026/08/04 16:49:47.221, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 60, 33.41
2026/08/04 16:50:17.315, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 37.65
2026/08/04 16:50:47.365, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 61, 39.91
2026/08/04 16:51:17.392, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 64, 44.95
2026/08/04 16:51:47.439, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 64, 54.62
2026/08/04 16:52:17.480, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 64, 53.34
2026/08/04 16:52:47.521, NVIDIA GeForce RTX 4070 Laptop GPU, 98, 7905, 8188, 63, 54.87
2026/08/04 16:53:17.563, NVIDIA GeForce RTX 4070 Laptop GPU, 99, 7905, 8188, 63, 54.84
2026/08/04 16:53:47.643, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 63, 52.46
2026/08/04 16:54:17.703, NVIDIA GeForce RTX 4070 Laptop GPU, 100, 7905, 8188, 62, 53.23
2026/08/04 16:54:47.804, NVIDIA GeForce RTX 4070 Laptop GPU, 96, 7905, 8188, 63, 54.85
