timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/10 00:04:28.654, NVIDIA GeForce RTX 4070 Laptop GPU, 0 %, 0 MiB, 8188 MiB, 50, 590.01 W, 2175 MHz
2026/07/10 00:05:28.662, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7937 MiB, 8188 MiB, 58, 46.60 W, 2490 MHz
2026/07/10 00:06:28.670, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7933 MiB, 8188 MiB, 58, 34.99 W, 2490 MHz
2026/07/10 00:07:28.676, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7933 MiB, 8188 MiB, 59, 45.62 W, 2070 MHz
2026/07/10 00:08:28.686, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7933 MiB, 8188 MiB, 59, 36.08 W, 2100 MHz
2026/07/10 00:09:28.696, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7933 MiB, 8188 MiB, 56, 34.66 W, 2490 MHz
2026/07/10 00:10:28.703, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7933 MiB, 8188 MiB, 59, 54.56 W, 2265 MHz
2026/07/10 00:11:28.709, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7907 MiB, 8188 MiB, 58, 54.83 W, 2175 MHz
2026/07/10 00:12:28.711, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7909 MiB, 8188 MiB, 58, 51.44 W, 2490 MHz
2026/07/10 00:13:28.714, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 57, 35.86 W, 2490 MHz
2026/07/10 00:14:28.719, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7909 MiB, 8188 MiB, 60, 55.03 W, 2130 MHz
2026/07/10 00:15:28.726, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 57, 35.16 W, 2220 MHz
2026/07/10 00:16:28.734, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7909 MiB, 8188 MiB, 60, 54.81 W, 2280 MHz
2026/07/10 00:17:28.737, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7909 MiB, 8188 MiB, 56, 39.07 W, 2490 MHz
2026/07/10 00:18:28.742, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 57, 45.51 W, 2490 MHz
2026/07/10 00:19:28.746, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7909 MiB, 8188 MiB, 60, 55.00 W, 2175 MHz
2026/07/10 00:20:28.751, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 58, 34.31 W, 2490 MHz
2026/07/10 00:21:28.764, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 61, 33.89 W, 2490 MHz
2026/07/10 00:22:28.766, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 60, 35.26 W, 2490 MHz
2026/07/10 00:23:28.771, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7659 MiB, 8188 MiB, 61, 54.86 W, 2145 MHz
2026/07/10 00:24:28.785, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 60, 37.48 W, 2220 MHz
2026/07/10 00:25:28.786, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7653 MiB, 8188 MiB, 61, 54.61 W, 2295 MHz
2026/07/10 00:26:28.794, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 56, 41.48 W, 2490 MHz
2026/07/10 00:27:28.802, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7653 MiB, 8188 MiB, 60, 54.97 W, 2070 MHz
2026/07/10 00:28:28.811, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7653 MiB, 8188 MiB, 59, 59.69 W, 2340 MHz
2026/07/10 00:29:28.815, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7653 MiB, 8188 MiB, 59, 55.84 W, 2205 MHz
2026/07/10 00:30:28.828, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 57, 39.25 W, 2490 MHz
2026/07/10 00:31:28.834, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7653 MiB, 8188 MiB, 61, 55.12 W, 2205 MHz
2026/07/10 00:32:28.841, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7653 MiB, 8188 MiB, 58, 54.84 W, 2385 MHz
2026/07/10 00:33:28.843, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 57, 33.09 W, 2490 MHz
2026/07/10 00:34:28.845, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 61, 34.60 W, 1740 MHz
2026/07/10 00:35:28.855, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7653 MiB, 8188 MiB, 61, 55.00 W, 2025 MHz
2026/07/10 00:36:28.862, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 56, 38.80 W, 2490 MHz
2026/07/10 00:37:28.864, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 61, 54.77 W, 2385 MHz
2026/07/10 00:38:28.870, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 57, 41.36 W, 2490 MHz
2026/07/10 00:39:28.874, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7653 MiB, 8188 MiB, 59, 34.39 W, 2490 MHz
2026/07/10 00:40:28.877, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7653 MiB, 8188 MiB, 60, 54.88 W, 2055 MHz
2026/07/10 00:41:28.880, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7653 MiB, 8188 MiB, 60, 54.93 W, 2280 MHz
