timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/09 03:15:39.480, NVIDIA GeForce RTX 4070 Laptop GPU, 0 %, 10 MiB, 8188 MiB, 57, 4.00 W, 210 MHz
2026/07/09 03:16:39.481, NVIDIA GeForce RTX 4070 Laptop GPU, 52 %, 1453 MiB, 8188 MiB, 62, 55.37 W, 2475 MHz
2026/07/09 03:17:39.482, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7925 MiB, 8188 MiB, 64, 48.47 W, 1830 MHz
2026/07/09 03:18:39.483, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 64, 53.83 W, 1950 MHz
2026/07/09 03:19:39.484, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7925 MiB, 8188 MiB, 61, 48.38 W, 2490 MHz
2026/07/09 03:20:39.484, NVIDIA GeForce RTX 4070 Laptop GPU, 92 %, 7925 MiB, 8188 MiB, 63, 54.65 W, 1890 MHz
2026/07/09 03:21:39.485, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 61, 47.08 W, 1950 MHz
2026/07/09 03:22:39.486, NVIDIA GeForce RTX 4070 Laptop GPU, 94 %, 7925 MiB, 8188 MiB, 63, 54.42 W, 2160 MHz
2026/07/09 03:23:39.487, NVIDIA GeForce RTX 4070 Laptop GPU, 57 %, 7879 MiB, 8188 MiB, 63, 50.88 W, 2490 MHz
2026/07/09 03:24:39.488, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7879 MiB, 8188 MiB, 63, 54.46 W, 2175 MHz
2026/07/09 03:25:39.489, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 62, 38.30 W, 2490 MHz
2026/07/09 03:26:39.490, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7879 MiB, 8188 MiB, 62, 52.43 W, 2490 MHz
2026/07/09 03:27:39.491, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7879 MiB, 8188 MiB, 62, 54.82 W, 2100 MHz
2026/07/09 03:28:39.492, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7879 MiB, 8188 MiB, 60, 48.66 W, 2490 MHz
2026/07/09 03:29:39.493, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7879 MiB, 8188 MiB, 63, 54.63 W, 2250 MHz
2026/07/09 03:30:39.493, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 61, 48.49 W, 2490 MHz
2026/07/09 03:31:39.494, NVIDIA GeForce RTX 4070 Laptop GPU, 86 %, 7879 MiB, 8188 MiB, 61, 41.15 W, 2490 MHz
2026/07/09 03:32:39.495, NVIDIA GeForce RTX 4070 Laptop GPU, 38 %, 7879 MiB, 8188 MiB, 61, 36.13 W, 2490 MHz
2026/07/09 03:33:39.496, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 61, 47.54 W, 2490 MHz
2026/07/09 03:34:39.497, NVIDIA GeForce RTX 4070 Laptop GPU, 91 %, 7879 MiB, 8188 MiB, 63, 54.40 W, 1920 MHz
2026/07/09 03:35:39.498, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7879 MiB, 8188 MiB, 64, 46.19 W, 1830 MHz
2026/07/09 03:36:39.499, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 61, 37.51 W, 2490 MHz
2026/07/09 03:37:39.499, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 62, 46.29 W, 1995 MHz
2026/07/09 03:38:39.500, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7879 MiB, 8188 MiB, 63, 54.28 W, 1995 MHz
2026/07/09 03:39:39.501, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 61, 34.33 W, 1995 MHz
2026/07/09 03:40:39.503, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7879 MiB, 8188 MiB, 60, 42.96 W, 2490 MHz
2026/07/09 03:41:39.503, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7879 MiB, 8188 MiB, 63, 54.85 W, 1830 MHz
2026/07/09 03:42:39.505, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 60, 44.18 W, 2490 MHz
2026/07/09 03:43:39.507, NVIDIA GeForce RTX 4070 Laptop GPU, 94 %, 7879 MiB, 8188 MiB, 62, 53.77 W, 2490 MHz
2026/07/09 03:44:39.508, NVIDIA GeForce RTX 4070 Laptop GPU, 92 %, 7879 MiB, 8188 MiB, 63, 54.78 W, 2250 MHz
2026/07/09 03:45:39.509, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 61, 47.87 W, 2490 MHz
2026/07/09 03:46:39.509, NVIDIA GeForce RTX 4070 Laptop GPU, 94 %, 7879 MiB, 8188 MiB, 62, 50.38 W, 2490 MHz
2026/07/09 03:47:39.510, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7879 MiB, 8188 MiB, 62, 55.75 W, 1815 MHz
2026/07/09 03:48:39.510, NVIDIA GeForce RTX 4070 Laptop GPU, 72 %, 7879 MiB, 8188 MiB, 62, 55.68 W, 2460 MHz
2026/07/09 03:49:39.511, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 59, 41.44 W, 2490 MHz
2026/07/09 03:50:39.512, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7879 MiB, 8188 MiB, 62, 52.95 W, 2490 MHz
2026/07/09 03:51:39.512, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7879 MiB, 8188 MiB, 62, 37.66 W, 2055 MHz
2026/07/09 03:52:39.513, NVIDIA GeForce RTX 4070 Laptop GPU, 94 %, 7879 MiB, 8188 MiB, 62, 49.40 W, 2490 MHz
2026/07/09 03:53:39.514, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7879 MiB, 8188 MiB, 63, 38.58 W, 2160 MHz
2026/07/09 03:54:39.515, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7879 MiB, 8188 MiB, 60, 49.07 W, 2490 MHz
2026/07/09 03:55:39.516, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7879 MiB, 8188 MiB, 64, 54.33 W, 2100 MHz
2026/07/09 03:56:39.517, NVIDIA GeForce RTX 4070 Laptop GPU, 62 %, 7879 MiB, 8188 MiB, 61, 39.05 W, 2490 MHz
2026/07/09 03:57:39.517, NVIDIA GeForce RTX 4070 Laptop GPU, 72 %, 7879 MiB, 8188 MiB, 62, 54.79 W, 2400 MHz
2026/07/09 03:58:39.522, NVIDIA GeForce RTX 4070 Laptop GPU, 31 %, 1407 MiB, 8188 MiB, 60, 39.33 W, 2490 MHz
2026/07/09 03:59:39.524, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7891 MiB, 8188 MiB, 63, 51.48 W, 1845 MHz
2026/07/09 04:00:39.524, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7913 MiB, 8188 MiB, 58, 39.81 W, 2490 MHz
2026/07/09 04:01:39.525, NVIDIA GeForce RTX 4070 Laptop GPU, 91 %, 7913 MiB, 8188 MiB, 63, 55.46 W, 1665 MHz
2026/07/09 04:02:39.526, NVIDIA GeForce RTX 4070 Laptop GPU, 90 %, 7913 MiB, 8188 MiB, 61, 58.32 W, 1635 MHz
