timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/09 12:28:17.574, NVIDIA GeForce RTX 4070 Laptop GPU, 0 %, 0 MiB, 8188 MiB, 50, 14.56 W, 2175 MHz
2026/07/09 12:29:17.583, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7937 MiB, 8188 MiB, 59, 46.83 W, 1995 MHz
2026/07/09 12:30:17.586, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7933 MiB, 8188 MiB, 59, 55.05 W, 1920 MHz
2026/07/09 12:31:17.587, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7925 MiB, 8188 MiB, 59, 52.42 W, 2025 MHz
2026/07/09 12:32:17.594, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 56, 32.58 W, 2490 MHz
2026/07/09 12:33:17.602, NVIDIA GeForce RTX 4070 Laptop GPU, 90 %, 7925 MiB, 8188 MiB, 60, 54.70 W, 2025 MHz
2026/07/09 12:34:17.604, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 58, 54.56 W, 2100 MHz
2026/07/09 12:35:17.606, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 56, 32.81 W, 2490 MHz
2026/07/09 12:36:17.610, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 60, 54.87 W, 1965 MHz
2026/07/09 12:37:17.614, NVIDIA GeForce RTX 4070 Laptop GPU, 93 %, 7925 MiB, 8188 MiB, 59, 55.07 W, 2115 MHz
2026/07/09 12:38:17.622, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 55, 31.74 W, 2490 MHz
2026/07/09 12:39:17.629, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 60, 55.02 W, 2055 MHz
2026/07/09 12:40:17.634, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7925 MiB, 8188 MiB, 58, 54.82 W, 2025 MHz
2026/07/09 12:41:17.640, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 61, 54.95 W, 1995 MHz
2026/07/09 12:42:17.641, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 56, 33.39 W, 2490 MHz
2026/07/09 12:43:17.644, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 58, 33.67 W, 2490 MHz
2026/07/09 12:44:17.650, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 59, 54.91 W, 1965 MHz
2026/07/09 12:45:17.657, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7925 MiB, 8188 MiB, 59, 54.92 W, 2010 MHz
2026/07/09 12:46:17.662, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7925 MiB, 8188 MiB, 59, 54.75 W, 2025 MHz
2026/07/09 12:47:17.669, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 56, 46.15 W, 2490 MHz
2026/07/09 12:48:17.673, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 58, 39.70 W, 2490 MHz
2026/07/09 12:49:17.675, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 56, 35.89 W, 2490 MHz
2026/07/09 12:50:17.686, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 57, 32.67 W, 2490 MHz
2026/07/09 12:51:17.693, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7925 MiB, 8188 MiB, 59, 54.90 W, 2070 MHz
2026/07/09 12:52:17.697, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 55, 32.78 W, 2490 MHz
2026/07/09 12:53:17.708, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 57, 39.07 W, 2490 MHz
