timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/09 00:06:20.607, NVIDIA GeForce RTX 4070 Laptop GPU, 0 %, 10 MiB, 8188 MiB, 56, 6.09 W, 210 MHz
2026/07/09 00:07:20.608, NVIDIA GeForce RTX 4070 Laptop GPU, 34 %, 1367 MiB, 8188 MiB, 65, 27.35 W, 1725 MHz
2026/07/09 00:08:20.609, NVIDIA GeForce RTX 4070 Laptop GPU, 40 %, 1391 MiB, 8188 MiB, 70, 51.55 W, 2475 MHz
2026/07/09 00:09:20.610, NVIDIA GeForce RTX 4070 Laptop GPU, 88 %, 7619 MiB, 8188 MiB, 71, 55.92 W, 1665 MHz
2026/07/09 00:10:20.611, NVIDIA GeForce RTX 4070 Laptop GPU, 90 %, 7899 MiB, 8188 MiB, 71, 54.93 W, 1515 MHz
2026/07/09 00:11:20.612, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7899 MiB, 8188 MiB, 69, 37.29 W, 1845 MHz
2026/07/09 00:12:20.613, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 67, 36.21 W, 2475 MHz
2026/07/09 00:13:20.615, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 64, 36.90 W, 2490 MHz
2026/07/09 00:14:20.616, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 60, 35.14 W, 2490 MHz
2026/07/09 00:15:20.616, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 58, 33.75 W, 2490 MHz
2026/07/09 00:16:20.618, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 58, 42.80 W, 2490 MHz
2026/07/09 00:17:20.619, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 60, 33.36 W, 1815 MHz
2026/07/09 00:18:20.620, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 56, 37.67 W, 2490 MHz
2026/07/09 00:19:20.621, NVIDIA GeForce RTX 4070 Laptop GPU, 66 %, 7899 MiB, 8188 MiB, 59, 54.30 W, 2265 MHz
2026/07/09 00:20:20.623, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 60, 33.68 W, 2490 MHz
2026/07/09 00:21:20.623, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 59, 33.76 W, 2490 MHz
2026/07/09 00:22:20.624, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 58, 36.19 W, 2490 MHz
2026/07/09 00:23:20.625, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7899 MiB, 8188 MiB, 57, 33.87 W, 2490 MHz
2026/07/09 00:24:20.626, NVIDIA GeForce RTX 4070 Laptop GPU, 78 %, 7899 MiB, 8188 MiB, 59, 41.15 W, 1725 MHz
2026/07/09 00:25:20.627, NVIDIA GeForce RTX 4070 Laptop GPU, 43 %, 7899 MiB, 8188 MiB, 61, 51.30 W, 2490 MHz
2026/07/09 00:26:20.628, NVIDIA GeForce RTX 4070 Laptop GPU, 54 %, 7899 MiB, 8188 MiB, 59, 54.06 W, 2310 MHz
2026/07/09 00:27:20.629, NVIDIA GeForce RTX 4070 Laptop GPU, 48 %, 7899 MiB, 8188 MiB, 59, 55.89 W, 2355 MHz
2026/07/09 00:28:20.630, NVIDIA GeForce RTX 4070 Laptop GPU, 81 %, 7899 MiB, 8188 MiB, 61, 56.60 W, 1815 MHz
2026/07/09 00:29:20.632, NVIDIA GeForce RTX 4070 Laptop GPU, 88 %, 7899 MiB, 8188 MiB, 60, 54.69 W, 1710 MHz
2026/07/09 00:30:20.632, NVIDIA GeForce RTX 4070 Laptop GPU, 94 %, 7899 MiB, 8188 MiB, 61, 54.83 W, 1695 MHz
2026/07/09 00:31:20.633, NVIDIA GeForce RTX 4070 Laptop GPU, 38 %, 7921 MiB, 8188 MiB, 60, 46.72 W, 2490 MHz
