timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz]
2026/07/10 09:33:24.178, NVIDIA GeForce RTX 4070 Laptop GPU, 0 %, 0 MiB, 8188 MiB, 47, 590.01 W, 2175 MHz
2026/07/10 09:34:24.181, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7939 MiB, 8188 MiB, 61, 43.31 W, 1935 MHz
2026/07/10 09:35:24.193, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7935 MiB, 8188 MiB, 60, 54.93 W, 2250 MHz
2026/07/10 09:36:24.199, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7925 MiB, 8188 MiB, 59, 54.92 W, 2175 MHz
2026/07/10 09:37:24.201, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 57, 32.84 W, 2490 MHz
2026/07/10 09:38:24.206, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7925 MiB, 8188 MiB, 61, 54.80 W, 2295 MHz
2026/07/10 09:39:24.211, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 56, 39.45 W, 2490 MHz
2026/07/10 09:40:24.213, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 61, 45.06 W, 2295 MHz
2026/07/10 09:41:24.225, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 58, 36.28 W, 2490 MHz
2026/07/10 09:42:24.229, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7925 MiB, 8188 MiB, 61, 53.86 W, 2310 MHz
2026/07/10 09:43:24.230, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 59, 34.60 W, 2175 MHz
2026/07/10 09:44:24.232, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 58, 42.25 W, 2490 MHz
2026/07/10 09:45:24.234, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7925 MiB, 8188 MiB, 59, 54.74 W, 2250 MHz
2026/07/10 09:46:24.240, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7925 MiB, 8188 MiB, 59, 54.78 W, 2400 MHz
2026/07/10 09:47:24.245, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 59, 46.12 W, 2115 MHz
2026/07/10 09:48:24.252, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7925 MiB, 8188 MiB, 61, 54.94 W, 2040 MHz
2026/07/10 09:49:24.254, NVIDIA GeForce RTX 4070 Laptop GPU, 91 %, 7925 MiB, 8188 MiB, 58, 54.73 W, 2445 MHz
2026/07/10 09:50:24.264, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7925 MiB, 8188 MiB, 57, 32.25 W, 2490 MHz
2026/07/10 09:51:24.268, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7925 MiB, 8188 MiB, 60, 54.83 W, 2085 MHz
2026/07/10 09:52:24.272, NVIDIA GeForce RTX 4070 Laptop GPU, 97 %, 7925 MiB, 8188 MiB, 60, 54.90 W, 2115 MHz
2026/07/10 09:53:24.275, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7909 MiB, 8188 MiB, 59, 54.58 W, 2295 MHz
2026/07/10 09:54:24.280, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 55, 31.37 W, 2490 MHz
2026/07/10 09:55:24.288, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 59, 33.58 W, 2490 MHz
2026/07/10 09:56:24.289, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7909 MiB, 8188 MiB, 60, 54.71 W, 2370 MHz
2026/07/10 09:57:24.297, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 59, 42.93 W, 2325 MHz
2026/07/10 09:58:24.299, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7909 MiB, 8188 MiB, 60, 54.94 W, 2010 MHz
2026/07/10 09:59:24.301, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 57, 39.08 W, 2145 MHz
2026/07/10 10:00:24.307, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 58, 39.64 W, 2490 MHz
2026/07/10 10:01:24.311, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7909 MiB, 8188 MiB, 60, 54.99 W, 2025 MHz
2026/07/10 10:02:24.319, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7909 MiB, 8188 MiB, 60, 54.89 W, 2310 MHz
2026/07/10 10:03:24.323, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 56, 31.03 W, 2490 MHz
2026/07/10 10:04:24.333, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7909 MiB, 8188 MiB, 61, 55.10 W, 2220 MHz
2026/07/10 10:05:24.335, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 56, 39.94 W, 2490 MHz
2026/07/10 10:06:24.340, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 58, 42.38 W, 2490 MHz
2026/07/10 10:07:24.343, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7909 MiB, 8188 MiB, 59, 37.70 W, 2490 MHz
2026/07/10 10:08:24.351, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7909 MiB, 8188 MiB, 60, 55.08 W, 2295 MHz
2026/07/10 10:09:24.359, NVIDIA GeForce RTX 4070 Laptop GPU, 90 %, 7909 MiB, 8188 MiB, 59, 54.24 W, 2490 MHz
2026/07/10 10:10:24.363, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 61, 54.67 W, 2385 MHz
2026/07/10 10:11:24.371, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7885 MiB, 8188 MiB, 61, 54.91 W, 2115 MHz
2026/07/10 10:12:24.381, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 57, 32.47 W, 2190 MHz
2026/07/10 10:13:24.387, NVIDIA GeForce RTX 4070 Laptop GPU, 99 %, 7885 MiB, 8188 MiB, 61, 54.80 W, 2175 MHz
2026/07/10 10:14:24.390, NVIDIA GeForce RTX 4070 Laptop GPU, 96 %, 7885 MiB, 8188 MiB, 59, 54.72 W, 2220 MHz
2026/07/10 10:15:24.391, NVIDIA GeForce RTX 4070 Laptop GPU, 98 %, 7885 MiB, 8188 MiB, 60, 54.66 W, 2055 MHz
2026/07/10 10:16:24.397, NVIDIA GeForce RTX 4070 Laptop GPU, 95 %, 7885 MiB, 8188 MiB, 59, 55.02 W, 2040 MHz
2026/07/10 10:17:24.403, NVIDIA GeForce RTX 4070 Laptop GPU, 100 %, 7885 MiB, 8188 MiB, 56, 32.40 W, 2490 MHz
